Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
HCL,29-01-2014,24.15,24.75,23.75,23.75,23.85,1062538,257.39
HCL,28-01-2014,23.6,24.7,23.6,24,23.95,1273441,307.64
HCL,27-01-2014,25,25,23.55,23.75,23.6,1844506,445.68
HCL,24-01-2014,26.2,26.9,25.2,25.35,25.3,1619599,418.45
HCL,23-01-2014,27,27.5,26.6,26.65,26.65,1224042,330.56
HCL,22-01-2014,28.05,28.2,26.9,26.9,27.15,1989235,546.64
HCL,21-01-2014,27.3,28.35,26.6,28.1,28,3761838,1040.4
HCL,20-01-2014,26.6,27.35,26,27.05,26.95,2211046,593.98
HCL,17-01-2014,28.15,28.35,26.2,26.5,26.35,3177391,860.2
HCL,16-01-2014,28.7,29.35,28.1,28.2,28.2,3331276,953.12
HCL,15-01-2014,29.25,29.85,28.2,28.65,28.7,8180561,2373.05
HCL,14-01-2014,26.05,29.3,26.05,29.2,28.85,12066818,3396
HCL,13-01-2014,26.25,26.95,26,26.3,26.35,3276119,863.84
HCL,10-01-2014,25.45,27.4,25.1,26.05,26,10149251,2677.89
HCL,09-01-2014,26.4,26.55,24.6,25.2,25.05,6956638,1753.68
HCL,08-01-2014,24.15,27.3,24.05,26.05,26.1,17844953,4633.62
HCL,07-01-2014,21.7,24.15,21.65,23.95,23.8,7612051,1772.78
HCL,06-01-2014,21.7,22.25,21.35,21.5,21.5,1538630,334.64
HCL,03-01-2014,22,22.65,21.1,21.65,21.65,2942982,642.73
HCL,02-01-2014,22,24.65,21.8,22.4,22.2,7319733,1696.05
HCL,01-01-2014,21.2,22.15,21.05,21.85,21.85,1809293,391.99
HCL,31-12-2013,21.2,21.45,20.85,21,21,720360,152.13
HCL,30-12-2013,20.9,21.45,20.8,21.05,21,968832,204.33
HCL,27-12-2013,20.4,21.4,20.4,20.6,20.65,1034551,216.05
HCL,26-12-2013,20.1,20.8,20.05,20.45,20.4,638625,130.4
HCL,24-12-2013,20.3,21.2,19.85,20.05,20.1,892564,181.55
HCL,23-12-2013,19.8,20,19.25,19.85,19.9,394680,78.13
HCL,20-12-2013,19.95,20.15,19.3,19.5,19.5,954266,189.37
HCL,19-12-2013,19.5,20.1,19.05,19.6,19.55,568525,112.24
HCL,18-12-2013,19.2,19.8,18.9,19.25,19.3,347952,67.13
HCL,17-12-2013,20,20.25,19.4,19.55,19.5,348266,68.72
HCL,16-12-2013,20.05,20.4,19.8,19.9,19.9,233219,46.71
HCL,13-12-2013,21,21.2,19.9,20.2,20.15,364937,74.82
HCL,12-12-2013,21.25,21.7,20.9,20.9,21.05,402788,85.81
HCL,11-12-2013,21.2,21.4,20.2,21.2,21.25,239658,50.82
HCL,10-12-2013,21.5,21.5,21.05,21.25,21.25,258742,54.91
HCL,09-12-2013,22,22.5,21.25,21.35,21.4,248591,53.7
HCL,06-12-2013,21.95,22.1,21.5,21.55,21.55,406184,88.37
